sample_id	time_point	input_filename	used_by
mouse1	day_4	lungST_2_2_QCed.rds	FeaturePlots_Flu.R
mouse2	day_4	lungST_2_3_QCed.rds	FeaturePlots_Flu.R
mouse4	day_10	lungST_4_2_QCed.rds	FeaturePlots_Flu.R
mouse5	day_10	lungST_4_3_QCed.rds	FeaturePlots_Flu.R
day4_puck1	day_4	lungST_2_2_QCed_edit.rds	RCTD_flu_d4_multi_spacexr2.2.R
day4_puck2	day_4	lungST_2_3_QCed_edit.rds	RCTD_flu_d4_multi_spacexr2.2.R
day10_puck1	day_10	lungST_4_2_QCed_edit.rds	RCTD_flu_d10_multi_spacexr2.2.R
day10_puck2	day_10	lungST_4_3_QCed_edit.rds	RCTD_flu_d10_multi_spacexr2.2.R
